id;name;fqdn;param_type;param_value;description
1;Price 5% Up;PricePctIncreaseChecker;NUMBER;5;
2;Price 5% Down;PricePctDecreseChecker;NUMBER;5;
3;52 Wk High;YearHighAlertChecker;NOT_APPLICABLE;;
4;52 Wk Low;YearLowAlertChecker;NOT_APPLICABLE;;
5;Volume Increase(3m);AvgVolumeIncreaseAlertChecker;NOT_APPLICABLE;;
