id;symbols;entry_date;processed
1;ZNGA VVUS TWTR SIRI RNN RBS RAD P NOK NFLX LYG LNKD JCP IDN HEB GNW GALE FXI FIT FB ENOC BBRY BAC ARNA ARIA ;2016-08-21;N
2;AMD GALE HEB LYG GNW RNN NOK ;2016-08-21;N
